name,is_archived,stars,forks,open_issues,created,modified,lang,repo_lang,github_handle,url,homepage
hugo,False,64971,7004,701,2013-07-04,2023-01-26,Go,Go,gohugoio/hugo,https://github.com/gohugoio/hugo/,https://gohugo.io
gatsby,False,54056,10509,126,2015-05-21,2023-01-26,JavaScript,JavaScript,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby/,https://www.gatsbyjs.com
jekyll,False,45978,9971,200,2008-10-20,2023-01-27,Ruby,Ruby,jekyll/jekyll,https://github.com/jekyll/jekyll/,https://jekyllrb.com
docusaurus,False,41638,6333,270,2017-06-20,2023-01-27,TypeScript,TypeScript,facebook/docusaurus,https://github.com/facebook/docusaurus/,https://docusaurus.io
hexo,False,36073,4417,79,2012-09-23,2022-12-31,JavaScript,JavaScript,hexojs/hexo,https://github.com/hexojs/hexo/,https://hexo.io
astro,False,25732,1212,114,2021-03-15,2023-01-27,JavaScript,TypeScript,withastro/astro,https://github.com/withastro/astro/,https://astro.build
vuepress,False,21163,4693,587,2018-04-05,2023-01-20,JavaScript,JavaScript,vuejs/vuepress,https://github.com/vuejs/vuepress/,https://vuepress.vuejs.org
mkdocs,False,15761,2163,136,2014-01-11,2022-11-06,Python,Python,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs/,https://www.mkdocs.org
eleventy,False,13622,424,401,2017-11-27,2023-01-26,JavaScript,JavaScript,11ty/eleventy,https://github.com/11ty/eleventy/,https://www.11ty.dev/
mkdocs-material,False,12548,2750,11,2016-01-28,2023-01-28,Python,TypeScript,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material/,https://squidfunk.github.io/mkdocs-material/
mdBook,False,12245,1267,424,2015-07-07,2023-01-28,Rust,Rust,rust-lang/mdBook,https://github.com/rust-lang/mdBook/,https://rust-lang.github.io/mdBook/
pelican,False,11355,1800,93,2010-10-16,2023-01-20,Python,HTML,getpelican/pelican,https://github.com/getpelican/pelican/,https://getpelican.com/
stencil,False,11351,727,504,2017-02-15,2023-01-27,JavaScript,TypeScript,ionic-team/stencil,https://github.com/ionic-team/stencil/,https://stenciljs.com
react-static,False,10216,810,1,2017-09-09,2022-04-29,JavaScript,JavaScript,react-static/react-static,https://github.com/react-static/react-static/,https://github.com/react-static/react-static/discussions
zola,False,10211,728,189,2016-12-06,2023-01-08,Rust,Rust,getzola/zola,https://github.com/getzola/zola/,https://www.getzola.org
octopress,False,9355,2703,250,2009-10-18,2016-02-22,Ruby,Ruby,imathis/octopress,https://github.com/imathis/octopress/,http://github.com/imathis/octopress
gridea,False,9079,757,534,2018-03-23,2023-01-24,JavaScript,TypeScript,getgridea/gridea,https://github.com/getgridea/gridea/,https://gridea.dev
metalsmith,False,7735,666,31,2014-02-04,2022-06-19,JavaScript,JavaScript,segmentio/metalsmith,https://github.com/segmentio/metalsmith/,https://metalsmith.io
middleman,False,6931,749,31,2009-07-27,2023-01-03,Ruby,Ruby,middleman/middleman,https://github.com/middleman/middleman/,https://middlemanapp.com
vitepress,False,6611,1169,142,2020-04-30,2023-01-28,JavaScript,TypeScript,vuejs/vitepress,https://github.com/vuejs/vitepress/,https://vitepress.vuejs.org
nextra,False,5812,793,118,2020-06-15,2023-01-28,JavaScript,TypeScript,shuding/nextra,https://github.com/shuding/nextra/,https://nextra.site
sphinx,False,5155,1843,1154,2015-01-02,2023-01-24,Python,Python,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx/,https://www.sphinx-doc.org/
Publish,False,4344,303,32,2019-12-27,2022-05-01,Swift,Swift,JohnSundell/Publish,https://github.com/JohnSundell/Publish/,
ihp,False,3828,164,194,2017-12-03,2023-01-28,Haskell,Haskell,digitallyinduced/ihp,https://github.com/digitallyinduced/ihp/,https://ihp.digitallyinduced.com/
lektor,False,3649,306,244,2015-12-19,2022-12-17,Python,Python,lektor/lektor,https://github.com/lektor/lektor/,https://www.getlektor.com/
wintersmith,False,3510,341,18,2012-02-02,2019-06-23,JavaScript,CoffeeScript,jnordberg/wintersmith,https://github.com/jnordberg/wintersmith/,http://wintersmith.io/
fastpages,True,3450,794,0,2020-02-03,2022-11-13,Python,Jupyter Notebook,fastai/fastpages,https://github.com/fastai/fastpages/,https://fastpages.fast.ai/
Cactus,False,3438,324,100,2011-02-28,2017-07-31,Python,Python,eudicots/Cactus,https://github.com/eudicots/Cactus/,
docfx,False,3298,769,455,2015-06-24,2023-01-28,С#,C#,dotnet/docfx,https://github.com/dotnet/docfx/,https://dotnet.github.io/docfx/
jupyter-book,False,3194,601,520,2018-06-14,2023-01-13,Python,Python,executablebooks/jupyter-book,https://github.com/executablebooks/jupyter-book/,http://jupyterbook.org
bookdown,False,2988,1138,178,2015-10-28,2022-06-14,R,JavaScript,rstudio/bookdown,https://github.com/rstudio/bookdown/,https://pkgs.rstudio.com/bookdown/
